Time [s],Value,Parity Error,Framing Error
32.045227500,0x100,,
32.281159250,0x100,,
32.513177425,0x100,,
32.751319500,0x100,,
32.977259325,0x100,,
33.197322300,0x100,,
33.434411225,0x100,,
33.665486800,0x100,,
33.882448825,0x100,,
33.939949525,0x100,,
34.165739875,0x100,,
34.383553525,0x100,,
34.599566450,0x100,,
34.838566625,0x100,,
35.069590200,0x100,,
35.287676900,0x100,,
35.524759325,0x100,,
35.743990175,0x100,,
35.972881425,0x100,,
36.212180675,0x100,,
36.430130850,0x100,,
36.660276775,0x100,,
36.901116725,0x100,,
37.127375100,0x100,,
37.368137050,0x100,,
37.598295975,0x100,,
37.814399900,0x100,,
38.048530900,0x100,,
38.269640525,0x100,,
38.484463775,0x100,,
38.721572200,0x100,,
38.940556025,0x100,,
39.158759750,0x100,,
39.395595150,0x100,,
39.626592700,0x100,,
39.865924450,0x100,,
40.091695250,0x100,,
40.313747525,0x100,,
40.548801675,0x100,,
40.779844725,0x100,,
41.000018250,0x100,,
41.235657475,0x100,,
41.466063475,0x100,,
41.686646550,0x100,,
41.924970650,0x100,,
42.150904000,0x100,,
42.369907350,0x100,,
42.604922500,0x100,,
42.828118975,0x100,,
43.040289850,0x100,,
43.278028900,0x100,,
43.494015825,0x100,,
43.727347225,0x100,,
43.963396050,0x100,,
44.181612775,0x100,,
44.417570575,0x100,,
44.647508500,0x100,,
44.868494650,0x100,,
45.107546900,0x100,,
45.333473750,0x100,,
45.554589925,0x100,,
45.789748125,0x006,,
45.790892125,0x106,,
46.020557175,0x100,,
46.242518475,0x100,,
46.476461000,0x100,,
46.562429300,0x100,,
46.802307200,0x100,,
47.039675725,0x100,,
47.270718825,0x100,,
47.489670200,0x100,,
47.726713675,0x100,,
47.957841300,0x100,,
48.173347200,0x100,,
48.411879375,0x100,,
48.641492275,0x100,,
48.861028750,0x100,,
49.101420200,0x100,,
49.328296200,0x100,,
49.566353825,0x100,,
49.800075325,0x100,,
50.017258450,0x100,,
50.253398300,0x100,,
50.483492275,0x100,,
50.703464300,0x100,,
50.934695950,0x100,,
51.159426650,0x100,,
51.374692000,0x100,,
51.627363725,0x100,,
51.855760975,0x100,,
52.074959375,0x100,,
52.316852550,0x100,,
52.542870450,0x100,,
52.780726550,0x100,,
53.009864900,0x100,,
53.230922600,0x006,,
53.232066600,0x106,,
53.463655950,0x100,,
53.697767525,0x100,,
53.915756775,0x100,,
54.154835075,0x100,,
54.382894275,0x100,,
54.534626025,0x100,,
54.778911575,0x100,,
55.007094275,0x100,,
