Time [s],Value,Parity Error,Framing Error
72.498981100,0x130,,
72.500127000,0x030,,
72.523982700,0x112,,
72.525128600,0x012,,
72.708994900,0x112,,
72.710140800,0x012,,
72.914008300,0x112,,
72.915154200,0x012,,
73.119021800,0x112,,
73.120167700,0x012,,
73.324035200,0x112,,
73.325181100,0x012,,
73.529048700,0x112,,
73.530194600,0x012,,
73.734062100,0x112,,
73.735208000,0x012,,
73.939075600,0x112,,
73.940221500,0x012,,
74.044186700,0x108,,
74.045332600,0x008,,
74.149089400,0x112,,
74.150235300,0x012,,
74.354102800,0x112,,
74.355248700,0x012,,
74.559220500,0x112,,
74.560366400,0x012,,
74.764233900,0x112,,
74.765379800,0x012,,
74.969247400,0x112,,
74.970393300,0x012,,
75.074254300,0x130,,
75.075400200,0x030,,
75.179261200,0x112,,
75.180407100,0x012,,
75.384274600,0x112,,
75.385420500,0x012,,
75.589288100,0x112,,
75.590434000,0x012,,
75.794301500,0x112,,
75.795447400,0x012,,
75.999315000,0x112,,
76.000460900,0x012,,
76.204328400,0x112,,
76.205474400,0x012,,
76.409341900,0x112,,
76.410487800,0x012,,
76.614355400,0x108,,
76.615501300,0x008,,
76.639357000,0x112,,
76.640502900,0x012,,
76.824369100,0x112,,
76.825515100,0x012,,
77.029382600,0x112,,
77.030528500,0x012,,
77.234396100,0x112,,
77.235542000,0x012,,
77.439409500,0x112,,
77.440555400,0x012,,
77.644423000,0x130,,
77.645568900,0x030,,
77.669424600,0x112,,
77.670570500,0x012,,
77.854436800,0x112,,
77.855582700,0x012,,
77.959443700,0x112,,
77.960589600,0x012,,
78.164457100,0x112,,
78.165603000,0x012,,
78.369470600,0x112,,
78.370616500,0x012,,
78.574484000,0x112,,
78.575630000,0x012,,
78.779497500,0x112,,
78.780643400,0x012,,
78.984511000,0x112,,
78.985656900,0x012,,
79.189524400,0x108,,
79.190670300,0x008,,
79.214526100,0x112,,
79.215672000,0x012,,
79.399538200,0x112,,
79.400684100,0x012,,
79.604551700,0x112,,
79.605697600,0x012,,
