Time[s], 通道 0, 通道 1
84.5455022, 0, 1
84.5456053, 1, 1
84.5459189, 0, 1
84.5461262, 1, 1
84.5463357, 0, 1
84.5464387, 1, 1
84.5466482, 0, 1
84.5467513, 1, 1
84.5471690, 0, 1
84.5498822, 0, 0
84.5508263, 0, 1
84.5508264, 0, 0
84.5508265, 0, 1
84.7499938, 1, 1
84.7502032, 0, 1
84.7503063, 1, 1
84.7505157, 0, 1
84.7506188, 1, 1
84.7509324, 0, 1
84.7511397, 1, 1
84.7513491, 0, 1
84.7514522, 1, 1
84.7516616, 0, 1
84.7517647, 1, 1
84.7521825, 0, 1
84.7549408, 0, 0
84.7558847, 0, 1
84.7558848, 0, 0
84.7558850, 0, 1
84.9550072, 1, 1
84.9552167, 0, 1
84.9553198, 1, 1
84.9555292, 0, 1
84.9556323, 1, 1
84.9559459, 0, 1
84.9561531, 1, 1
84.9563626, 0, 1
84.9564657, 1, 1
84.9566751, 0, 1
84.9567782, 1, 1
84.9571959, 0, 1
84.9599344, 0, 0
84.9608785, 0, 1
85.1600207, 1, 1
85.1602301, 0, 1
85.1603332, 1, 1
85.1605426, 0, 1
85.1606458, 1, 1
85.1609594, 0, 1
85.1611666, 1, 1
85.1613761, 0, 1
85.1614791, 1, 1
85.1616886, 0, 1
85.1617917, 1, 1
85.1622094, 0, 1
85.1649540, 0, 0
85.1658979, 0, 1
85.1658980, 0, 0
85.1658981, 0, 1
85.3650342, 1, 1
85.3655561, 0, 1
85.3657634, 1, 1
85.3659728, 0, 1
85.3661801, 1, 1
85.3667021, 0, 1
85.3669093, 1, 1
85.3672229, 0, 1
85.3900358, 1, 1
85.3902453, 0, 1
85.3903483, 1, 1
85.3905578, 0, 1
85.3906609, 1, 1
85.3909745, 0, 1
85.3911817, 1, 1
85.3913911, 0, 1
85.3914942, 1, 1
85.3917036, 0, 1
85.3918068, 1, 1
85.3922246, 0, 1
85.3949762, 0, 0
85.3959202, 0, 1
85.3959203, 0, 0
85.3959204, 0, 1
85.5750480, 1, 1
85.5752575, 0, 1
85.5753605, 1, 1
85.5755700, 0, 1
85.5756730, 1, 1
85.5759866, 0, 1
85.5761939, 1, 1
85.5764033, 0, 1
85.5765064, 1, 1
85.5767158, 0, 1
85.5768189, 1, 1
85.5772367, 0, 1
85.5799665, 0, 0
85.5809104, 0, 1
85.5809105, 0, 0
85.5809107, 0, 1
85.7800614, 1, 1
85.7802708, 0, 1
85.7803740, 1, 1
85.7805835, 0, 1
85.7806865, 1, 1
85.7810001, 0, 1
85.7812074, 1, 1
85.7814168, 0, 1
85.7815199, 1, 1
85.7817293, 0, 1
85.7818324, 1, 1
85.7822502, 0, 1
85.7849861, 0, 0
85.7859301, 0, 1
85.7859302, 0, 0
85.7859303, 0, 1
85.9851791, 1, 1
85.9853885, 0, 1
85.9854916, 1, 1
85.9857010, 0, 1
85.9858041, 1, 1
85.9861177, 0, 1
85.9863250, 1, 1
85.9865345, 0, 1
